# Optical absorption spectrum of Lucifer yellow CH in water
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by R.-C. A. Fuh in the summer of 1995 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 24200 cm-1/M at 279.8 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Stewart, W. W. (1981) Synthesis of 3,6-disulfonated 4-aminonapthalimides.  J. Am. Chem. Soc. 103, 7615-7620.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
219.75	21703
220	21651
220.25	21659
220.5	21636
220.75	21607
221	21599
221.25	21630
221.5	21773
221.75	21847
222	21873
222.25	21961
222.5	22109
222.75	22130
223	22333
223.25	22436
223.5	22583
223.75	22560
224	22834
224.25	22836
224.5	23018
224.75	23135
225	23306
225.25	23436
225.5	23643
225.75	23852
226	23934
226.25	23918
226.5	24091
226.75	24243
227	24266
227.25	24429
227.5	24591
227.75	24681
228	24741
228.25	24916
228.5	24924
228.75	25022
229	25139
229.25	25044
229.5	25115
229.75	25040
230	25141
230.25	25125
230.5	24983
230.75	24852
231	24761
231.25	24730
231.5	24571
231.75	24331
232	24213
232.25	24040
232.5	23644
232.75	23432
233	23180
233.25	22753
233.5	22436
233.75	22047
234	21642
234.25	21233
234.5	20721
234.75	20178
235	19603
235.25	18946
235.5	18282
235.75	17699
236	17106
236.25	16551
236.5	16096
236.75	15615
237	15185
237.25	14711
237.5	14276
237.75	13901
238	13480
238.25	13127
238.5	12764
238.75	12439
239	12092
239.25	11857
239.5	11621
239.75	11407
240	11217
240.25	11053
240.5	10910
240.75	10780
241	10670
241.25	10566
241.5	10481
241.75	10415
242	10393
242.25	10316
242.5	10284
242.75	10287
243	10278
243.25	10319
243.5	10325
243.75	10301
244	10361
244.25	10384
244.5	10402
244.75	10468
245	10533
245.25	10601
245.5	10645
245.75	10681
246	10744
246.25	10817
246.5	10931
246.75	10999
247	11092
247.25	11157
247.5	11221
247.75	11275
248	11373
248.25	11466
248.5	11569
248.75	11651
249	11715
249.25	11830
249.5	11932
249.75	12028
250	12130
250.25	12233
250.5	12337
250.75	12473
251	12563
251.25	12649
251.5	12742
251.75	12878
252	12936
252.25	13054
252.5	13129
252.75	13227
253	13352
253.25	13432
253.5	13570
253.75	13630
254	13725
254.25	13811
254.5	13858
254.75	13909
255	13949
255.25	14078
255.5	14103
255.75	14186
256	14224
256.25	14327
256.5	14393
256.75	14419
257	14456
257.25	14565
257.5	14543
257.75	14632
258	14707
258.25	14760
258.5	14801
258.75	14842
259	14869
259.25	14882
259.5	14946
259.75	15054
260	15105
260.25	15189
260.5	15197
260.75	15251
261	15311
261.25	15437
261.5	15468
261.75	15588
262	15632
262.25	15683
262.5	15820
262.75	15943
263	16015
263.25	16133
263.5	16226
263.75	16352
264	16431
264.25	16536
264.5	16706
264.75	16790
265	16875
265.25	17025
265.5	17148
265.75	17259
266	17420
266.25	17553
266.5	17749
266.75	17842
267	18150
267.25	18254
267.5	18372
267.75	18547
268	18727
268.25	18914
268.5	19125
268.75	19137
269	19402
269.25	19497
269.5	19737
269.75	19941
270	20126
270.25	20312
270.5	20385
270.75	20592
271	20768
271.25	20986
271.5	21137
271.75	21254
272	21433
272.25	21559
272.5	21814
272.75	21979
273	22057
273.25	22203
273.5	22422
273.75	22595
274	22639
274.25	22750
274.5	22884
274.75	22932
275	23180
275.25	23302
275.5	23344
275.75	23552
276	23640
276.25	23732
276.5	23759
276.75	23816
277	23927
277.25	23998
277.5	24009
277.75	24029
278	24048
278.25	24030
278.5	24127
278.75	24147
279	24131
279.25	24146
279.5	24142
279.75	24200
280	24167
280.25	24133
280.5	24061
280.75	24048
281	23996
281.25	24003
281.5	23906
281.75	23916
282	23703
282.25	23768
282.5	23639
282.75	23459
283	23525
283.25	23359
283.5	23245
283.75	23166
284	22928
284.25	22854
284.5	22685
284.75	22510
285	22391
285.25	22168
285.5	22019
285.75	21898
286	21717
286.25	21429
286.5	21250
286.75	21056
287	20856
287.25	20595
287.5	20342
287.75	20147
288	19866
288.25	19646
288.5	19498
288.75	19208
289	18959
289.25	18678
289.5	18382
289.75	18103
290	17895
290.25	17506
290.5	17315
290.75	17059
291	16817
291.25	16538
291.5	16271
291.75	15978
292	15677
292.25	15430
292.5	15173
292.75	14827
293	14618
293.25	14322
293.5	14099
293.75	13845
294	13542
294.25	13311
294.5	13071
294.75	13016
295	12772
295.25	12522
295.5	12228
295.75	12079
296	11772
296.25	11497
296.5	11257
296.75	11000
297	10737
297.25	10476
297.5	10202
297.75	9972
298	9706
298.25	9469
298.5	9163
298.75	8939
299	8718
299.25	8478
299.5	8276
299.75	7994
300	7816
300.25	7560
300.5	7342
300.75	7152
301	6887
301.25	6717
301.5	6500
301.75	6319
302	6138
302.25	5982
302.5	5790
302.75	5591
303	5449
303.25	5261
303.5	5098
303.75	4979
304	4837
304.25	4670
304.5	4534
304.75	4411
305	4309
305.25	4177
305.5	4123
305.75	3980
306	3892
306.25	3812
306.5	3689
306.75	3612
307	3499
307.25	3455
307.5	3365
307.75	3297
308	3275
308.25	3177
308.5	3154
308.75	3073
309	3036
309.25	3019
309.5	2997
309.75	3163
310	3182
310.25	2937
310.5	2979
310.75	2980
311	3003
311.25	2886
311.5	2919
311.75	3001
312	2812
312.25	2794
312.5	2941
312.75	2874
313	2885
313.25	2837
313.5	2924
313.75	2733
314	2812
314.25	2749
314.5	2801
314.75	2750
315	2690
315.25	2675
315.5	2794
315.75	2718
316	2775
316.25	2585
316.5	2603
316.75	2611
317	2522
317.25	2552
317.5	2450
317.75	2588
318	2550
318.25	2613
318.5	2615
318.75	2465
319	2527
319.25	2619
319.5	2424
319.75	2554
320	2437
320.25	2515
320.5	2485
320.75	2458
321	2440
321.25	2473
321.5	2505
321.75	2481
322	2447
322.25	2457
322.5	2452
322.75	2469
323	2438
323.25	2431
323.5	2455
323.75	2485
324	2477
324.25	2479
324.5	2448
324.75	2460
325	2428
325.25	2543
325.5	2526
325.75	2504
326	2527
326.25	2547
326.5	2568
326.75	2569
327	2715
327.25	2763
327.5	2600
327.75	2786
328	2615
328.25	2761
328.5	2715
328.75	2788
329	2831
329.25	2824
329.5	2935
329.75	2852
330	2794
330.25	2849
330.5	2846
330.75	2849
331	2858
331.25	2879
331.5	2843
331.75	2805
332	2756
332.25	2770
332.5	2755
332.75	2739
333	2781
