# Emission spectrum of  in water
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on in the summer of 1995 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
400	616
400.5	586
401	588
401.5	619
402	597
402.5	652
403	720
403.5	656
404	676
404.5	620
405	654
405.5	672
406	654
406.5	682
407	662
407.5	620
408	570
408.5	735
409	605
409.5	646
410	659
410.5	659
411	707
411.5	631
412	703
412.5	688
413	740
413.5	746
414	736
414.5	767
415	810
415.5	732
416	782
416.5	783
417	755
417.5	826
418	839
418.5	756
419	786
419.5	846
420	836
420.5	870
421	907
421.5	885
422	869
422.5	942
423	986
423.5	942
424	1010
424.5	1096
425	1063
425.5	1147
426	1238
426.5	1430
427	1498
427.5	1764
428	1951
428.5	2375
429	2674
429.5	3094
430	3437
430.5	3894
431	4169
431.5	4855
432	5237
432.5	5589
433	5890
433.5	6154
434	6446
434.5	6438
435	6607
435.5	6577
436	6521
436.5	6441
437	6037
437.5	5594
438	5565
438.5	4817
439	4626
439.5	4076
440	3868
440.5	3467
441	3131
441.5	2900
442	2689
442.5	2503
443	2478
443.5	2474
444	2428
444.5	2374
445	2464
445.5	2551
446	2583
446.5	2529
447	2623
447.5	2795
448	2767
448.5	2821
449	2968
449.5	3125
450	3051
450.5	3252
451	3178
451.5	3418
452	3465
452.5	3644
453	3645
453.5	4083
454	3993
454.5	4169
455	4483
455.5	4667
456	4751
456.5	5174
457	5196
457.5	5492
458	5763
458.5	6058
459	6367
459.5	6785
460	7116
460.5	7373
461	7683
461.5	8378
462	8541
462.5	8986
463	9416
463.5	10324
464	10449
464.5	11223
465	11518
465.5	12535
466	12888
466.5	13860
467	14447
467.5	15179
468	16024
468.5	17221
469	17447
469.5	18986
470	19578
470.5	21269
471	21831
471.5	23553
472	24300
472.5	26261
473	26956
473.5	29150
474	30079
474.5	32188
475	33441
475.5	36293
476	37395
476.5	39435
477	41623
477.5	44053
478	45551
478.5	48597
479	50710
479.5	54005
480	55782
480.5	59045
481	61542
481.5	64963
482	67905
482.5	70912
483	74282
483.5	78044
484	80671
484.5	83514
485	86802
485.5	91570
486	95096
486.5	98363
487	101863
487.5	107036
488	109631
488.5	113635
489	117225
489.5	122078
490	124565
490.5	130350
491	134055
491.5	139116
492	143447
492.5	148204
493	152079
493.5	158183
494	160924
494.5	166781
495	171208
495.5	177383
496	180619
496.5	187170
497	191399
497.5	197293
498	201925
498.5	207199
499	212249
499.5	219441
500	222275
500.5	228751
501	233317
501.5	241429
502	244620
502.5	249667
503	255372
503.5	262532
504	267045
504.5	272919
505	278205
505.5	284913
506	288146
506.5	296026
507	299785
507.5	305365
508	310162
508.5	314804
509	319404
509.5	323870
510	329115
510.5	335141
511	337396
511.5	342555
512	347583
512.5	352524
513	357441
513.5	361922
514	365245
514.5	371045
515	373178
515.5	378314
516	381234
516.5	386189
517	389562
517.5	393829
518	396082
518.5	399852
519	401849
519.5	407722
520	411958
520.5	414222
521	416656
521.5	420962
522	422384
522.5	425718
523	430032
523.5	431276
524	434163
524.5	437099
525	437968
525.5	441577
526	444015
526.5	447544
527	448293
527.5	452045
528	453468
528.5	454227
529	455131
529.5	455945
530	457452
530.5	458308
531	461201
531.5	461598
532	464000
532.5	466451
533	463898
533.5	466049
534	468733
534.5	468031
535	468729
535.5	468210
536	469723
536.5	470458
537	470866
537.5	469672
538	471528
538.5	472155
539	469572
539.5	471701
540	471073
540.5	470287
541	470542
541.5	469525
542	471614
542.5	468794
543	468957
543.5	468344
544	469137
544.5	465511
545	465725
545.5	465843
546	464129
546.5	463463
547	462962
547.5	461502
548	461939
548.5	460892
549	462318
549.5	457126
550	457642
550.5	454131
551	453268
551.5	453005
552	451517
552.5	450526
553	448591
553.5	447217
554	446008
554.5	445406
555	441530
555.5	440274
556	439049
556.5	438216
557	436031
557.5	433660
558	433640
558.5	431982
559	430443
559.5	426794
560	425703
560.5	424408
561	422195
561.5	418877
562	419177
562.5	416688
563	413782
563.5	410119
564	409016
564.5	406627
565	405109
565.5	403927
566	401164
566.5	399136
567	398808
567.5	394191
568	393898
568.5	388937
569	387453
569.5	384673
570	384291
570.5	379370
571	380430
571.5	374401
572	375197
572.5	371007
573	370636
573.5	366761
574	366573
574.5	362060
575	361087
575.5	356868
576	355509
576.5	352225
577	350178
577.5	347349
578	345595
578.5	343333
579	339450
579.5	335132
580	336108
580.5	331675
581	331232
581.5	327854
582	325834
582.5	322601
583	321951
583.5	317403
584	317025
584.5	315442
585	312097
585.5	308183
586	306230
586.5	303644
587	304206
587.5	300249
588	298316
588.5	295075
589	292221
589.5	290386
590	288412
590.5	285422
591	285113
591.5	279671
592	279810
592.5	277173
593	274752
593.5	270422
594	269642
594.5	267096
595	267075
595.5	263035
596	261373
596.5	258849
597	258081
597.5	252624
598	251695
598.5	249992
599	247570
599.5	243342
600	242096
600.5	241488
601	236966
601.5	235270
602	233973
602.5	232524
603	229554
603.5	226055
604	226634
604.5	222664
605	221322
605.5	217901
606	217885
606.5	215127
607	214512
607.5	210848
608	211682
608.5	208006
609	205799
609.5	203143
610	202801
610.5	200385
611	198891
611.5	195693
612	194262
612.5	192446
613	190674
613.5	188472
614	187224
614.5	184665
615	184208
615.5	180929
616	181176
616.5	178337
617	177535
617.5	174746
618	173934
618.5	172905
619	170718
619.5	169329
620	167976
620.5	166164
621	165923
621.5	161433
622	160506
622.5	159434
623	157945
623.5	156510
624	155617
624.5	154011
625	152247
625.5	149016
626	147954
626.5	145676
627	144624
627.5	142033
628	140610
628.5	140039
629	139594
629.5	138007
630	136172
630.5	135672
631	134538
631.5	133412
632	131948
632.5	129872
633	129342
633.5	126813
634	126309
634.5	125062
635	125610
635.5	123296
636	122232
636.5	119118
637	117865
637.5	117705
638	116738
638.5	116005
639	113931
639.5	113294
640	111486
640.5	110485
641	109795
641.5	107419
642	108542
642.5	105488
643	104755
643.5	103548
644	103114
644.5	101614
645	100518
645.5	99933
646	97549
646.5	98654
647	96909
647.5	95504
648	95507
648.5	93812
649	90848
649.5	90086
650	89513
650.5	90044
651	87801
651.5	87441
652	86892
652.5	85966
653	84104
653.5	83976
654	82075
654.5	82303
655	81742
655.5	79570
656	80083
656.5	78731
657	78369
657.5	75575
658	77687
658.5	76175
659	75091
659.5	72548
660	73276
660.5	72488
661	71384
661.5	70971
662	69637
662.5	67481
